nombre_organismo;DIR3
"Consejería de Bienestar Social, Igualdad, Juventud, Infancia y Familias";"A05045232"
"Dirección General de Dependencia";"A05046452"
"Dirección General de Discapacidad";"A05046453"
"Dirección General de Diversidad";"A05033132"
"Dirección General de Juventud";"A05033133"
"Dirección General de Mayores y Participación Activa";"A05046454"
"Dirección General de Protección a la Infancia y las Familias";"A05045236"
"Dirección General de Servicios Sociales e Inmigración";"A05045235"
"Instituto Canario de Igualdad";"A05033134"
"Secretaría General Técnica de Bienestar Social, Igualdad, Juventud, Infancia y Familias";"A05045233"
"Viceconsejería de Bienestar Social";"A05045234"
"Viceconsejería de Igualdad y Diversidad";"A05033131"
