nombre_organismo;DIR3
"Agencia Canaria de Calidad Universitaria y Evaluación Educativa";"A05003410"
"Consejería de Educación, Formación Profesional, Actividad Física y Deportes";"A05047932"
"Dirección General de Administración de Centros, Escolarización y Servicios Complementarios";"A05047943"
"Dirección General de Cualificaciones Profesionales";"A05047941"
"Dirección General de Deportes Autóctonos";"A05047942"
"Dirección General de Formación Profesional y Enseñanzas de Régimen Especial";"A05003413"
"Dirección General de Infraestructuras y Equipamientos";"A05047944"
"Dirección General de Ordenación de las Enseñanzas, Inclusión e Innovación";"A05003415"
"Dirección General de Personal y Formación del Profesorado";"A05003414"
"Dirección General de la Actividad Física y el Deporte";"A05031005"
"Secretaría General Técnica de Educación, Formación Profesional, Actividad Física y Deportes";"A05047938"
"Viceconsejería de Educación";"A05047934"
"Viceconsejería de Formación Profesional y Cualificaciones Profesionales";"A05047940"
"Viceconsejería de la Actividad Física y Deportes";"A05047936"
