nombre_organismo;DIR3
"Agencia Tributaria Canaria";"A05010223"
"Comisionado del Régimen Económico y Fiscal de Canarias";"A05047178"
"Consejería de Hacienda y Relaciones con la Unión Europea";"A05032839"
"Dirección General de Asuntos Europeos";"A05032842"
"Dirección General de Patrimonio y Contratación";"A05003432"
"Dirección General de Planificación y Presupuesto";"A05003429"
"Dirección General del Tesoro y Política Financiera";"A05003430"
"Instituto Canario de Estadística";"A05003423"
"Intervención General";"A05003421"
"Secretaría General Técnica de Hacienda y Relaciones con la Unión Europea";"A05032840"
"Viceconsejería de Hacienda y Relaciones con la Unión Europea";"A05032841"
