nombre_organismo;DIR3
"Consejería de Presidencia, Administraciones Públicas, Justicia y Seguridad";"A05033187"
"Dirección General de Estudios, Formación e Investigación en Seguridad Pública";"A05046794"
"Dirección General de Modernización y Calidad de los Servicios Públicos";"A05017100"
"Dirección General de Relaciones con la Administración de Justicia";"A05003250"
"Dirección General de Seguridad";"A05046792"
"Dirección General de Transparencia y Participación Ciudadana";"A05018781"
"Dirección General de la Función Pública";"A05003247"
"Instituto Canario de Administración Pública";"A05003243"
"Secretaría General Técnica de Presidencia, Administraciones Públicas, Justicia y Seguridad";"A05033188"
"Viceconsejería de Administraciones y Transparencia";"A05018778"
"Viceconsejería de Justicia y Seguridad";"A05003241"
"Viceconsejería de Relaciones con el Parlamento";"A05018780"
"Viceconsejería de recuperación económica y social de La Palma";"A05046793"
