nombre_organismo;DIR3
"Consejería de Sanidad";"A05002852"
"Dirección General Salud Mental y Adicciones";"A05046378"
"Dirección General de Hemodonación y Hemoterapia";"A05050992"
"Dirección General de Programas Asistenciales";"A05003610"
"Dirección General de Recursos Económicos";"A05003611"
"Dirección General de Recursos Humanos";"A05003612"
"Dirección General de Relaciones Externas e Inspección";"A05046380"
"Dirección General de Salud Pública";"A05003613"
"Dirección General del Paciente y Cronicidad";"A05046379"
"Dirección de Área de Salud de El Hierro";"A05006308"
"Dirección de Área de Salud de Fuerteventura";"A05006304"
"Dirección de Área de Salud de Gran Canaria";"A05006306"
"Dirección de Área de Salud de La Gomera";"A05006307"
"Dirección de Área de Salud de La Palma";"A05006309"
"Dirección de Área de Salud de Lanzarote";"A05006305"
"Dirección de Área de Salud de Tenerife";"A05006310"
"Escuela de Servicios Sanitarios y Sociales de Canarias";"A05003615"
"Secretaría General Técnica de Sanidad";"A05003607"
"Secretaría General del Servicio Canario de la Salud";"A05003609"
"Servicio Canario de la Salud";"A05003608"
"Viceconsejería de Sanidad";"A05050732"
