 Nombre,Código identificativo interno (CI),Finalidad,Materia competencial ,DIR3 (centro directivo),UID de la persona responsable tecnológica,UID de la persona responsable funcional,"Normativa 
(Juriscan)",¿Nombre disponible en el listado original?,Observaciones
Registro de Comerciantes y  Comercios de Canarias,RECOMERCIA,"Gestionar el Registro público de las personas físicas o jurídicas que ejerzan la actividad comercial, así como los establecimientos y centros comerciales.",Comercio,A05030991,jsersanp,csecrod,"Decreto-legislativo 1/2012, 21 abril, por el que se aprueba el Texto Refundido de las Leyes de Ordenación de la Actividad Comercial de Canarias y reguladora de la licencia comercial.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=67192",,"https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/5267
https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/5272

"
Licencias comerciales,LICENCIAS_COMERCIALES,"Gestionar la actividad comercial, de la distribución y equipamiento comercial, de determinadas modalidades de ventas específicas con la finalidad de ordenar la actividad de este sector, de la autorización de la actividad de los grandes establecimientos comerciales y de los centros comerciales, y la regulación de la licencia comercial. (PLATEA)",Comercio,A05030991,anhergue,ggravar,"Decreto-legislativo 1/2012, 21 abril, por el que se aprueba el Texto Refundido de las Leyes de Ordenación de la Actividad Comercial de Canarias y reguladora de la licencia comercial.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=67192",,"https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/5345
https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/2715"
Horarios comerciales,HORARIOS,Registro de los horarios comerciales de los establecimientos. (LOCAL),Comercio,A05030991,cándido,ggravar,"DECRETO 201/2002, 20 diciembre, por el que se establece la regulación de horarios comerciales en la Comunidad Autónoma de Canarias.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=42017",,
Centros de contratación en la CAC,CENTCONTRA,Gestionar los centros de contratación dentro de la CAC.,Comercio,A05030991,cándido,ggravar,"DECRETO 77/1988, de 21 de abril, sobre creación del Centro de Contratación de Canarias.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=9374",,
Precios de bienes y servicios,PREBIESRV,Gestionar los precios de bienes y servicios.,Comercio,A05030991,cándido,ggravar,,,
Seguridad industrial,SEGURIDAD_INDUSTRIAL,Gestionar los expedientes relacionados con la seguridad industrial. (INDCOM),Industria,A05030992,anhergue,vfersan,,,
Instalaciones aguas,AGUAS,Gestionar los expedientes relacionados con las instalaciones de aguas. (SINERGIA),Industria,A05030992,anhergue,vfersan,"DECRETO 154/2001, 23 julio, por el que se establece el procedimiento para la puesta en funcionamiento de industrias e instalaciones industriales.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=37650",,"Puesta en servicio de instalaciones interiores de suministro y evacuación de aguas
https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/3408"
Instalaciones de incendio,INCENDIO,Gestionar los expedientes relacionados con las instalaciones de incendio. (SINERGIA),Industria,A05030992,anhergue,vfersan,"DECRETO 16/2009, de 3 de febrero, por el que se aprueban Normas sobre documentación, tramitación y prescripciones técnicas relativas a las instalaciones, aparatos y sistemas contra incendios, instaladores y mantenedores de instalaciones.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=60709",,https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/3627
Inspecciones industriales,INSPECCIONES_INDUSTRIALES,Gestionar los expedientes relacionados con las inspecciones industriales. (SINERGIA),Industria,A05030992,anhergue,fsolrey,"Real Decreto 559/2010, de 7 de mayo, por el que se aprueba el Reglamento del Registro Integrado Industrial.
https://www.boe.es/buscar/act.php?id=BOE-A-2010-8189%20 (art. 4)",,"https://www.gobiernodecanarias.org/industria/temas/RII/
Presentación de inspecciones de establecimientos industriales - Sede electrónica del Gobierno de Canarias "
Registro Integrado Industrial,REGINDUS,Registro integrado de industrias. (SINERGIA),Industria,A05030992,anhergue,fsolrey,"DECRETO 154/2001, 23 julio, por el que se establece el procedimiento para la puesta en funcionamiento de industrias e instalaciones industriales.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=37650",,https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/3384
Denuncias talleres,DENUNCIAS_TALLERES,Gestionar las denuncias de talleres.,Industria,A05030992,anhergue,jgonveg,,,
Listado de establecimientos autorizados de ITV,ITV,Registro de los establecimientos autorizados para la ITV. (PLATEA),Industria,A05030992,anhergue,jgonveg,"DECRETO 47/2020, 21 mayo, de la Consejería de Turismo, Industria y Comercio, por el que se aprueba el Reglamento que regula la Inspección Técnica de Vehículos en Canarias.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=78486",,https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/7159
Registro de Operadores del Régimen Específico de Abastecimiento,REA,Registrar y mantener inventario de los operadores del régimen específico. (SINERGIA),Industria,A05030992,anhergue,cgonben,"DECRETO 12/1995, 27 enero, por el que se crea el Registro de Operadores del Régimen Específico de Abastecimiento de las islas Canarias.
https://www3.gobiernodecanarias.org/juriscan/ficha.jsp?id=21483",,https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/1256
Inversiones PYMES,,,Industria,A05030992,anhergue,mcalsua,,,https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/6383
Catalogo de productos industriales de Canarias,CATALOGO,Gestionar el catálogo de productos industriales desarrollados.,Industria,A05030992,anhergue,rlarave,,,"https://www3.gobiernodecanarias.org/ceicc/industria/catalogoindustrial/portal/modules_pub.php?file=vercatalogo
https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/6927"
Censo de suelo industrial,CENSO_SUELO_INDUSTRIAL,Mantener un censo de las zonas industriales. ,Industria,A05030992,anhergue,,,https://www3.gobiernodecanarias.org/ceicc/industria/censosueloind/portal/modules_pub2021.php?file=listado2022,https://www3.gobiernodecanarias.org/ceicc/industria/censosueloind/portal/modules_pub2021.php?file=listado2023
Planes Directores de Áreas Industriales,PDAIC,Gestionar los planes directores de áreas industriales de las islas. ,Industria,A05030992,anhergue,,,https://www.gobiernodecanarias.org/industria/PDAIC/,https://www.gobiernodecanarias.org/industria/PDAIC/
Inspecciones consumo,INSPECCIONES_CONSUMO,Gestionar las inspecciones realizadas en relación a consumo. (INDCOM),Consumo,A05030991,anhergue,"lsangonw, cgongomn",,,"Real Decreto Legislativo 1/2007, de 16 de noviembre, por el que se aprueba el texto refundido de la Ley General para la Defensa de los Consumidores y Usuarios y otras leyes complementarias."
Denuncias consumo,DENUNCIAS_CONSUMO,Gestionar las denuncias realizadas en relación a consumo. (INDCOM),Consumo,A05030991,anhergue,"lsangonw, cgongomn",,,https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/6488
