"unidad_organica_id";"unidad_organica_dir3";"unidad_organica_sirhus_id";"unidad_organica_nombre";"nivel_administracion_id";"tipo_entidad_publica_id";"unidad_organica_superior_id";"unidad_organica_superior_dir3";"unidad_organica_superior_sirhus_id";"unidad_organica_superior_nombre";"puesto_nombre";"funcion_competencias";"latitud_1";"longitud_1";"direccion_1";"direccion_provincia_nombre_1";"direccion_localidad_nombre_1";"telefono_1";"fax_1";"direccion_1_es_sede";"direccion_datos_adicionales_1";"otros_datos_1";"direccion_codigo_postal_1";"latitud_2";"longitud_2";"direccion_2";"direccion_provincia_nombre_2";"direccion_localidad_nombre_2";"telefono_2";"fax_2";"direccion_2_es_sede";"direccion_datos_adicionales_2";"otros_datos_2";"direccion_codigo_postal_2";"pagina_web";"email"
"6547";"A05002852";"360540";"Consejería de Sanidad";"2";"CA";"1";"A05003638";"110";"Gobierno de Canarias";"Consejera";"""El Consejero de Sanidad, como órgano superior de dirección y jefe del Departamento, tiene atribuidas las funciones relacionadas en la Ley 4/2023 de 23 de marzo, de la Presidencia y del Gobierno de Canarias, en el artículo 29.1 de la Ley 14/1990, de 26 de julio, de Régimen Jurídico de las Administraciones Públicas de Canarias, y ejerce las competencias previstas en el Reglamento Orgánico de la Consejería de Sanidad y en las demás disposiciones vigentes.

Corresponde al Consejero de Sanidad:
- La resolución de las reclamaciones previas a la vía civil que puedan plantearse ante el Departamento.
- La aprobación de ficheros de datos de carácter personal.

Además le corresponden competencias en las siguientes materias:
- Salud pública, asistencia sanitaria y ordenación farmacéutica.
- Atención a las drogodependencias.""";"_U";"_U";"Avda. Juan XXIII 17";"Las Palmas";"Las Palmas de Gran Canaria";"928 11 89 76";"_U";"sí";"_U";"planta 6";"35004";"28.47107987";"-16.25858745";"Rambla de Santa Cruz 53";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"922 95 18 37/11";"_U";"no";"_U";"Planta 1ª";"38071";"https://www.gobiernodecanarias.org/sanidad/";"consejera.san@gobiernodecanarias.org"
"6564";"A05003615";"3443910";"Escuela de Servicios Sanitarios y Sociales de Canarias";"2";"CA";"6547";"A05002852";"360540";"Consejería de Sanidad";"Director (rango de Director General)";"""Instituida mediante la Ley 1/1993, de 26 de marzo, como entidad de derecho público, tiene como objetivo prioritario la formación permanente y continuada de los profesionales de la salud y de los  asuntos sociales, así como la planificación, promoción, desarrollo y evaluación de programas de investigación dirigidos a actividades sociosanitarias.""";"28.47998344";"-16.24376201";"C/ José Zárate y Penichet 4F";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"922 92 27 30";"922 92 27 42";"no";"Edf. Arco Iris";"_U";"38071";"28.09776756";"-15.41382027";"C/ Padre José de Sosa 22";"Las Palmas";"Las Palmas de Gran Canaria";"928 11 72 55";"928 11 72 74";"sí";"_U";"Planta 1ª";"35071";"http://www.essscan.es";"essscantfe@gobiernodecanarias.org"
"6583";"A05003607";"360840";"Secretaría General Técnica de Sanidad";"2";"CA";"6547";"A05002852";"360540";"Consejería de Sanidad";"Secretaria General Técnica";"""La Secretaría General Técnica ejerce las funciones que se le atribuyen, con carácter general, en las normas reglamentarias de organización de la Administración Pública de la Comunidad Autónoma de Canarias.

Con carácter específico, corresponden a la Secretaría General Técnica las siguientes funciones:

- El estudio y tramitación del procedimiento de resolución de los recursos administrativos y reclamaciones, interpuestos contra las disposiciones y actos que deba resolver alguno de los órganos de la Consejería.
- La contestación de las reclamaciones y la respuesta de las solicitudes, iniciativas y sugerencias planteadas por los usuarios del Sistema Canario de la Salud a través de la Oficina de Defensa de los Derechos de los Usuarios Sanitarios, que le correspondan en virtud de la normativa específica.
- La dirección, gestión y organización del registro de manifestaciones anticipadas de voluntad en el ámbito sanitario.
- La propuesta de cuantas disposiciones afecten al funcionamiento de los servicios y de las reformas encaminadas a la mejora de su eficacia, en especial las relativas a la organización y métodos de trabajo.
- La dirección, impulso, estudio, coordinación y elaboración, en su caso, de los Anteproyectos de Ley y disposiciones de carácter general en materias que afecten a la Consejería y a las entidades adscritas, dependientes o vinculadas a la misma.
- La elaboración de estudios e informes jurídicos en materias que afectan al Departamento de Salud, sin perjuicio de las competencias reconocidas a la Viceconsejería de los Servicios Jurídicos.
- El régimen interior, asuntos generales y la administración y gestión de los bienes que sean adscritos a la Consejería, así como la confección y actualización del inventario de dichos bienes, sin perjuicio de las competencias que en materia de patrimonio de la Comunidad Autónoma de Canarias tiene atribuidas la dirección general correspondiente.
- Seguimiento de las resoluciones y sentencias que afecten al Departamento y a sus órganos y entidades adscritos.
- La dirección y gestión de las tasas y precios públicos de la Consejería, sin perjuicio de las competencias de otros centros directivos por razón de la materia.
- La propuesta de aprobación de las bases de las convocatorias públicas de ayudas y subvenciones que se tramiten en la Consejería.
- Elaboración de estudios de necesidades, planes de calidad, programas y cartas de servicios en relación con las competencias asignadas.
- La asistencia técnica y jurídica de los restantes órganos de la Consejería.
- La coordinación y supervisión de los Registros Generales de los restantes órganos del Departamento y la gestión y el mantenimiento del Archivo Central departamental.
- La elaboración y tramitación ante los órganos colegiados del Gobierno de las propuestas de acuerdos de los expedientes originados en el Departamento, Organismos Autónomos y Entes adscritos.
- La coordinación y tramitación de las solicitudes de informes y resoluciones del Defensor del Pueblo y del Diputado del Común.
- La coordinación y tramitación de las iniciativas parlamentarias del Departamento y de las relaciones con el Parlamento de Canarias a través del Departamento correspondiente.
- La coordinación, estudio y propuesta para el cumplimiento de los asuntos derivados de las relaciones institucionales en las materias propias del Departamento, así como de cualquier otro asunto o consulta de otros órganos de las Administraciones Públicas.
- La dirección y planificación de la política informática del Departamento, sin perjuicio de las competencias que tiene atribuida la Consejería competente en materia de telecomunicaciones, tecnologías de la información y comunicaciones e informática.
- Presidir la unidad de mejora continua e innovación.
- Ser el órgano responsable de la gestión de la sede electrónica del Departamento y del registro electrónico, a través de la unidad a la que esté adscrito.
- Iniciativa e impulso de la normalización y racionalización administrativas, planificación estratégica y evaluación de su cumplimiento, simplificación de procedimientos administrativos, medidas de acercamiento de la Administración al ciudadano e impulso y coordinación de la implantación de medios informáticos, sin perjuicio de las funciones que sobre esta materia tienen los órganos de la Consejería competente en materia de transparencia y participación ciudadana y, específicamente, la Dirección General competente en materia de modernización y calidad de los servicios.
- La coordinación y adopción de las medidas que sean precisas para el cumplimiento por los órganos de la Consejería de las obligaciones establecidas en materia de transparencia y acceso a la información pública, y específicamente:

* La coordinación de la actividad de los órganos del Departamento para el cumplimiento de lo establecido en la Ley 12/2014, de 26 de diciembre, de transparencia y de acceso a la información pública, y en las normas que la desarrollen.
* El requerimiento a los órganos de la Consejería en cuyo poder obre la información o que tengan atribuidas las competencias en la materia, para la elaboración, puesta a disposición y actualización de la información que debe hacerse pública en el Portal de Transparencia relativa a la Consejería y a las fundaciones públicas, sociedades mercantiles y consorcios adscritos o vinculados.
* La emisión de los informes anuales sobre el grado de aplicación de la ley de transparencia y de acceso a la información pública en el ámbito competencial de la Consejería.
* La determinación de la unidad responsable de la información pública de la Consejería.

- La autorización y disposición de los gastos derivados de la gestión de personal del Departamento.
- El estudio y propuesta de la estructura orgánica y funcional del Departamento.
- La selección y contratación del personal laboral temporal del Departamento.
- La información al personal del Departamento de cuantos acuerdos, instrucciones y circulares de todo tipo referidos al personal se emitan por los distintos órganos y vigilar su cumplimiento.
- La organización y ejecución de cursos de perfeccionamiento para el personal de la Consejería, sin perjuicio de las competencias específicas de otros órganos.
- La coordinación administrativa en materia de contratación y de personal del Departamento sin perjuicio de las competencias atribuidas a otros órganos.
- La resolución de las reclamaciones previas a la vía judicial laboral.
- Las restantes funciones que le atribuya el ordenamiento jurídico.

La Secretaría General Técnica dispensa apoyo administrativo al Consejo Canario de la Salud.""";"_U";"_U";"Avda. Juan XXIII 17";"Las Palmas";"Las Palmas de Gran Canaria";"928 11 89 76";"_U";"sí";"_U";"planta 6";"35004";"28.47107987";"-16.25858745";"Rambla de Santa Cruz 53";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"922 95 18 37/11";"_U";"no";"_U";"Planta 1ª";"38071";"https://www.gobiernodecanarias.org/sanidad/";"sgt.san@gobiernodecanarias.org"
"6594";"A05003608";"2340";"Servicio Canario de la Salud";"2";"CA";"6547";"A05002852";"360540";"Consejería de Sanidad";"Director (rango de Viceconsejero)";"""La Dirección del Servicio Canario de la Salud realiza funciones de regulación interna de los servicios, gestión económica y contable, ejecución y evaluación, conforme se determina en la Ley Territorial 11/1994, de 26 de julio. 

La Dirección del Servicio ejerce las siguientes atribuciones:

- Cumplir y hacer cumplir las disposiciones que regulan la actuación del Servicio Canario de la Salud y los acuerdos adoptados por el Gobierno, Consejero competente en materia de sanidad y Consejo de Dirección en las materias que son de su respectiva competencia.
- Adoptar medidas preventivas de protección de la salud cuando exista o se sospeche razonablemente la existencia de un riesgo inminente y extraordinario para la salud, tales como órdenes generales y particulares de hacer, no hacer o tolerar, suspensión del ejercicio de actividades, cierres de empresas, centros o establecimientos o de parte de sus instalaciones, intervención de medios materiales y personales y cuantas otras se consideren sanitariamente justificadas.
- Autorizar la creación, modificación, traslado y cierre de los centros, servicios y establecimientos sanitarios y sociosanitarios, si procede, y el cuidado de su registro, catalogación y acreditación así como supervisión, control, inspección y evaluación.
- Impulsar, coordinar, inspeccionar y evaluar los órganos y actividades del Servicio Canario de la Salud.
- Dictar las instrucciones y circulares relativas al funcionamiento y organización internos del Servicio Canario de la Salud, sin perjuicio de las facultades del Consejo de Dirección.
- Ejercer la jefatura del personal del Servicio, sin perjuicio de la atribución del Consejero competente en materia de sanidad.
- La ejecución del presupuesto del Servicio conforme a la Ley 7/1984, de 11 de diciembre, de la Hacienda Pública de la Comunidad Autónoma de Canarias, y las facultades de órgano de contratación.
- Autorizar gastos según los presupuestos del Servicio.
-Es competencia de la Dirección del Servicio la facultad de decretar la intervención administrativa de una actividad, bien, centro o establecimiento, para eliminar la repercusión excepcional y negativa en la salud de los ciudadanos.
Además asume las  competencias en materia de ordenación e inspección farmacéutica de la extinta Dirección General de Farmacia.
Corresponde a la Dirección del Servicio Canario de la Salud las siguientes funciones:
a) La promoción y planificación general de la actividad de hemodonación y hemoterapia en el cumplimiento de sus fines.
b) Adoptar las directrices previas para coordinar la actuación del centro directivo competente en hemodonación y hemoterapia y de los centros y servicios de transfusión de la red sanitaria pública, así como de la Red Transfusional de Canarias.
c) La creación o supresión de centros de hemodonación y hemoterapia.
d) Formular propuestas de actuación en materia de hemodonación y hemoterapia.
e) Cuantas facultades de gobierno y administración del Servicio no estén atribuidas expresamente a los restantes órganos del mismo.
f) Cualesquiera otras que le correspondan por precepto legal o reglamentario.""";"_U";"_U";"Avda. Juan XXIII 17";"Las Palmas";"Las Palmas de Gran Canaria";"928 11 88 26";"928 11 87 96";"sí";"_U";"planta 6";"35004";"28.46872097";"-16.25649657";"C/ Pérez de Rozas 5";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"922 95 18 37 / 11";"_U";"no";"_U";"Planta 4ª";"38071";"https://www.gobiernodecanarias.org/sanidad/scs";"direccion.scs@gobiernodecanarias.org"
"6603";"A05006304";"437540";"Dirección de Área de Salud de Fuerteventura";"2";"CA";"6594";"A05003608";"2340";"Servicio Canario de la Salud";"Director";"""La Dirección del Área de Salud ejerce las atribuciones de coordinación de los servicios, gestión presupuestaria, ejecución y comprobación y evaluación, conforme se determina en la Ley Territorial 11/1994, de 26 de julio.
Las Direcciones de las Áreas de Salud son órganos de impulso y coordinación de las formas de participación individual y comunitaria en el cuidado de la salud y ejercen en esta materia las siguientes funciones:
- Gestionar los programas de salud ambiental, higiene alimentaria y vigilancia epidemiológica.
- Gestionar el laboratorio de salud pública del Área.
Corresponde a los Directores de Área la resolución de los procedimientos de reintegro de gastos a los beneficiarios de la asistencia sanitaria de la Seguridad Social siempre que no sean superiores a 6.010,12 euros.
La Dirección elaborará la Memoria Anual del Área y la someterá a la aprobación del Consejo de Dirección del Área, previo informe del correspondiente Consejo de Salud. 
Para la prestación de la asistencia sanitaria especializada, el Área dispone de los recursos asistenciales de la Red Hospitalaria de Utilización Pública, en función del nivel de acreditación de los centros y de la complejidad de las patologías a atender, de acuerdo con el Plan de Salud de Canarias, con los programas de gestión convenida, con los Planes de Salud de Área y conforme a las disposiciones que regulen la utilización de la Red.""";"28.50669328";"-13.86653210";"""C/ Pdte. Juan Negrín, esq Pdte. Santiago Hormiga s/n""";"Las Palmas";"Puerto del Rosario";"928 11 25 16";"928 11 25 19";"sí";"La Charca";"_U";"35600";"_U";"_U";"_U";"_U";"_U";"_U";"_U";"no";"_U";"_U";"_U";"https://www.gobiernodecanarias.org/sanidad/scs";"_U"
"6630";"A05006310";"439040";"Dirección de Área de Salud de Tenerife";"2";"CA";"6594";"A05003608";"2340";"Servicio Canario de la Salud";"Director";"""La Dirección del Área de Salud ejerce las atribuciones de coordinación de los servicios, gestión presupuestaria, ejecución y comprobación y evaluación, conforme se determina en la Ley Territorial 11/1994, de 26 de julio.
Las Direcciones de las Áreas de Salud son órganos de impulso y coordinación de las formas de participación individual y comunitaria en el cuidado de la salud y ejercen en esta materia las siguientes funciones:
- Gestionar los programas de salud ambiental, higiene alimentaria y vigilancia epidemiológica.
- Gestionar el laboratorio de salud pública del Área.
Corresponde a los Directores de Área la resolución de los procedimientos de reintegro de gastos a los beneficiarios de la asistencia sanitaria de la Seguridad Social siempre que no sean superiores a 6.010,12 euros.
La Dirección elaborará la Memoria Anual del Área y la someterá a la aprobación del Consejo de Dirección del Área, previo informe del correspondiente Consejo de Salud. 
Para la prestación de la asistencia sanitaria especializada, el Área dispone de los recursos asistenciales de la Red Hospitalaria de Utilización Pública, en función del nivel de acreditación de los centros y de la complejidad de las patologías a atender, de acuerdo con el Plan de Salud de Canarias, con los programas de gestión convenida, con los Planes de Salud de Área y conforme a las disposiciones que regulen la utilización de la Red.""";"28.46923234";"-16.25475559";"C/ Mendéz Núñez 14";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"922 95 19 97 / 66";"_U";"sí";"_U";"_U";"38071";"_U";"_U";"_U";"_U";"_U";"_U";"_U";"no";"_U";"_U";"_U";"https://www.gobiernodecanarias.org/sanidad/scs";"_U"
"6632";"A05006306";"437940";"Dirección de Área de Salud de Gran Canaria";"2";"CA";"6594";"A05003608";"2340";"Servicio Canario de la Salud";"Directora";"""La Dirección del Área de Salud ejerce las atribuciones de coordinación de los servicios, gestión presupuestaria, ejecución y comprobación y evaluación, conforme se determina en la Ley Territorial 11/1994, de 26 de julio.
Las Direcciones de las Áreas de Salud son órganos de impulso y coordinación de las formas de participación individual y comunitaria en el cuidado de la salud y ejercen en esta materia las siguientes funciones:
- Gestionar los programas de salud ambiental, higiene alimentaria y vigilancia epidemiológica.
- Gestionar el laboratorio de salud pública del Área.
Corresponde a los Directores de Área la resolución de los procedimientos de reintegro de gastos a los beneficiarios de la asistencia sanitaria de la Seguridad Social siempre que no sean superiores a 6.010,12 euros.
La Dirección elaborará la Memoria Anual del Área y la someterá a la aprobación del Consejo de Dirección del Área, previo informe del correspondiente Consejo de Salud. 
Para la prestación de la asistencia sanitaria especializada, el Área dispone de los recursos asistenciales de la Red Hospitalaria de Utilización Pública, en función del nivel de acreditación de los centros y de la complejidad de las patologías a atender, de acuerdo con el Plan de Salud de Canarias, con los programas de gestión convenida, con los Planes de Salud de Área y conforme a las disposiciones que regulen la utilización de la Red.""";"28.11927551";"-15.42486264";"C/ León y Castillo 224";"Las Palmas";"Las Palmas de Gran Canaria";"928 211 352";"_U";"sí";"_U";"_U";"35071";"_U";"_U";"_U";"_U";"_U";"_U";"_U";"no";"_U";"_U";"_U";"https://www.gobiernodecanarias.org/sanidad/scs";"unidadapoyodasgc.scs@gobiernodecanarias.org"
"6634";"A05006307";"438440";"Dirección de Área de Salud de La Gomera";"2";"CA";"6594";"A05003608";"2340";"Servicio Canario de la Salud";"Directora";"""La Dirección del Área de Salud ejerce las atribuciones de coordinación de los servicios, gestión presupuestaria, ejecución y comprobación y evaluación, conforme se determina en la Ley Territorial 11/1994, de 26 de julio.
Las Direcciones de las Áreas de Salud son órganos de impulso y coordinación de las formas de participación individual y comunitaria en el cuidado de la salud y ejercen en esta materia las siguientes funciones:
- Gestionar los programas de salud ambiental, higiene alimentaria y vigilancia epidemiológica.
- Gestionar el laboratorio de salud pública del Área.
Corresponde a los Directores de Área la resolución de los procedimientos de reintegro de gastos a los beneficiarios de la asistencia sanitaria de la Seguridad Social siempre que no sean superiores a 6.010,12 euros.
La Dirección elaborará la Memoria Anual del Área y la someterá a la aprobación del Consejo de Dirección del Área, previo informe del correspondiente Consejo de Salud. 
Para la prestación de la asistencia sanitaria especializada, el Área dispone de los recursos asistenciales de la Red Hospitalaria de Utilización Pública, en función del nivel de acreditación de los centros y de la complejidad de las patologías a atender, de acuerdo con el Plan de Salud de Canarias, con los programas de gestión convenida, con los Planes de Salud de Área y conforme a las disposiciones que regulen la utilización de la Red.""";"28.10188600";"-17.12348418";"Avda. José Aguiar s/n";"Santa Cruz de Tenerife";"San Sebastián de la Gomera";"822 17 12 51";"_U";"sí";"_U";"Planta 1ª";"38800";"_U";"_U";"_U";"_U";"_U";"_U";"_U";"no";"_U";"_U";"_U";"https://www.gobiernodecanarias.org/sanidad/scs";"_U"
"6636";"A05003613";"434940";"Dirección General de Salud Pública";"2";"CA";"6594";"A05003608";"2340";"Servicio Canario de la Salud";"Director General";"""a) Establecer sistemas de información y de análisis de las distintas situaciones que, por repercutir sobre la salud, puedan provocar acciones de intervención de la autoridad sanitaria.
b) Comprobar el cumplimiento de las limitaciones preventivas de carácter administrativo para la implantación y desarrollo de actividades públicas y privadas que directa o indirectamente puedan tener consecuencias negativas para la salud.
c) Gestionar los registros de empresas, productos o actividades que estén establecidos por razones sanitarias.
d) Comprobar el cumplimiento de las prohibiciones y requisitos mínimos que estén establecidos por motivos de prevención de enfermedades.
e) Otorgar las autorizaciones administrativas que estén establecidas para el funcionamiento de empresas, la fabricación y comercialización de productos y el desarrollo de actividades con repercusión sanitaria y ejercer la inspección del cumplimiento de la normativa en esta materia.
f) Otorgar las autorizaciones administrativas que estén establecidas para la distribución mayorista de medicamentos de uso humano y veterinario. (Suprimido por el Real Decreto 123/2003).
g) Controlar e inspeccionar las condiciones higiénico-sanitarias de funcionamiento y desarrollo de actividades, locales y edificios de habitación o residencia, trabajo, recreo y asistencia pública y, en general, del medio en que se desenvuelve la vida humana.
h) Controlar la publicidad y propaganda comerciales para que se ajusten a la normativa en lo que atañe a la salud.
i) Ejecutar la policía sanitaria mortuoria.
j) Adoptar medidas preventivas de protección de la salud cuando exista o se sospeche razonablemente la existencia de un riesgo inminente y extraordinario para la salud, tales como la incautación o inmovilización de productos.
k) Ordenar la intervención cautelar de mercancías como medida provisional de aseguramiento de la eficacia de las resoluciones en los procedimientos que hayan de seguirse por infracción de la normativa aplicable en materia de sanidad, higiene, seguridad, protección del consumidor o defensa de la calidad de la producción agroalimentaria.
l) Establecer y ejecutar los planes, programas y actuaciones en el ámbito de la salud medioambiental, higiene alimentaria, (y ordenación farmacéutica.) derogado por el DECRETO 29/2004, de 23 de marzo, por el que se modifica el Decreto 32/1995, de 24 de febrero, que aprueba el Reglamento de organización y Funcionamiento del Servicio Canario de la Salud, y el Decreto 61/1997, de 30 de abril, por el que se crea el Comité Asesor para la Utilización Terapéutica de la Hormona del Crecimiento y Sustancias Relacionadas.
m) Establecer los sistemas de vigilancia epidemiológica y asegurar el mantenimiento y control del estado de salud colectiva en su ámbito de actuación.
Además asume las competencias en materia de atención a las drogodependencias y toxicomanías, incluso las de coordinación con el Plan Nacional sobre Drogas de la extinta Dirección General de Drogodependencias. ( Derogado ) Estas competencias son asumidas por la nueva Dirección General de Salud Mental y Adicciones, tal y como se recoge en la Disposición Final Primera del Decreto 123/2023 de 17 de Julio.""";"28.11286305";"-15.42244534";"C/ Alfonso XIII 4";"Las Palmas";"Las Palmas de Gran Canaria";"928 30 75 10";"_U";"sí";"_U";"Planta 1ª";"35071";"28.47107987";"-16.25858745";"Rambla de Santa Cruz 53";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"922 47 49 00";"_U";"no";"_U";"Planta Baja";"38071";"https://www.gobiernodecanarias.org/sanidad/scs";"dgsaludpub.scs@gobiernodecanarias.org"
"6644";"A05003612";"437140";"Dirección General de Recursos Humanos";"2";"CA";"6594";"A05003608";"2340";"Servicio Canario de la Salud";"Director General";"""Corresponde a la Dirección General de Recursos Humanos las siguientes funciones:

- La elaboración de propuestas y planes para satisfacer las necesidades de personal del Servicio, sin perjuicio de lo dispuesto en el artículo 33 del presente Decreto.
- La selección, nombramiento y contratación del personal laboral temporal.
- La selección y nombramiento del personal temporal sanitario sometido a régimen estatutario.
- La autorización de los gastos y la gestión de la nómina de personal.
- La relación y coordinación con las organizaciones sindicales y profesionales en el ámbito del Servicio, sin perjuicio de la competencia de otros órganos.
- El establecimiento del soporte para los sistemas de gestión y administración general del personal del Servicio.
- La elaboración de los anteproyectos de relaciones de puestos de trabajo, de acuerdo con las propuestas de los restantes órganos del Servicio.
- La formalización de las tomas de posesión y las diligencias de cese del personal funcionario y del sometido al régimen estatutario del Servicio.
- La propuesta a la Dirección General de la Función Pública de la autorización o denegación de compatibilidad para el segundo puesto o actividad en el sector público y para el ejercicio de actividades profesionales, laborales, mercantiles o industriales, fuera de la Administración de la Comunidad Autónoma. 
- La resolución de las comisiones de servicios entre distintos órganos centrales y territoriales del Servicio.
- La incoación de los procedimientos disciplinarios por presuntas faltas graves y muy graves y su resolución cuando las sanciones no impliquen separación del servicio.
- El reconocimiento de trienios.
- La declaración de consolidación del grado personal de funcionarios.
- La inspección de todo el personal.
- Todos los actos de administración o gestión de personal no asignados expresamente a otros órganos del Servicio.
- Cuantas otras funciones se le deleguen y cualesquiera otras que se le atribuyan reglamentariamente.""";"28.46923234";"-16.25475559";"C/ Mendéz Núñez 14";"Santa Cruz de Tenerife";"Santa Cruz de Tenerife";"922 47 54 39";"_U";"no";"_U";"_U";"38071";"28.11746236";"-15.42763351";"Plaza Dr. Juan Bosch Millares 1";"Las Palmas";"Las Palmas de Gran Canaria";"928  30 76 11";"928 21 71 20";"sí";"_U";"Planta 1ª";"35071";"https://www.gobiernodecanarias.org/sanidad/scs";"dgrrhh.scs@gobiernodecanarias.org"
