nombre_organismo;DIR3
"Consejo Económico y Social";"A05017335"
"Dirección General de Análisis y Estudios";"A05046376"
"Dirección General de Comunicación";"A05003344"
"Dirección General de Coordinación Orgánica y Proyectos Estratégicos";"A05046377"
"Dirección General de Emigración";"A05017165"
"Dirección General de Planificación e Información";"A05046375"
"Dirección General de Relaciones Exteriores";"A05017166"
"Dirección General de Relaciones con África";"A05017317"
"Dirección General de Servicios Jurídicos";"A05046372"
"Dirección General de Transformación Digital de los Servicios Públicos";"A05003248"
"Ente Público Radiotelevisión Canaria";"A05003424"
"Portavocía del Gobierno";"A05046373"
"Presidencia del Gobierno";"A05002844"
"Secretaría General";"A05003338"
"Secretaría General del Consejo Económico y Social de Canarias";"A05033092"
"Viceconsejería de Acción Exterior";"A05003334"
"Viceconsejería de Comunicación y Relaciones con los Medios";"A05003335"
"Viceconsejería de Coordinación y Relaciones Institucionales de la Vicepresidencia";"A05046374"
"Viceconsejería de Servicios Jurídicos";"A05033189"
"Viceconsejería de la Presidencia";"A05003333"
"Viceconsejería del Gabinete de la Presidencia";"A05003340"
"Viceconsejería del Gabinete de la Vicepresidencia";"A05003342"
"Vicepresidencia del Gobierno";"A05003332"
